wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q106226059,Abir Kara,Abir Kara,male,1983-10-27,11,,,Q110062385,Deputy Minister in the Prime Minister's Office,2021-06-28,Q106226059-86D13A76-B31E-43B4-BB98-4C98D2EC5ECF
Q1396120,Yair Lapid,Yair Lapid,male,1963-11-05,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q2564757,Minister of Strategic Affairs,2021-06-13,Q1396120-6CFEBA2D-1B2B-4066-B675-F845B9C7CA00
Q1396120,Yair Lapid,Yair Lapid,male,1963-11-05,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q95965310,Alternate Prime Minister,2021-06-13,Q1396120-CCDD997A-CEC4-4F50-9CA8-1B42F7B48665
Q1396120,Yair Lapid,Yair Lapid,male,1963-11-05,11,,,Q15710855,Minister of Foreign Affairs,2021-06-13,Q1396120-e962e0c0-4699-3e01-e639-2b9d096a998a
Q1572575,Hamad Amar,Hamad Amar,male,1964-11-05,11,,,Q110062463,Minister in the Ministry of Finance,2021-06-13,Q1572575-DFC21EE6-5846-4A11-AE14-A7D3458642EB
Q19634043,Yifat Shasha-Biton,Yifat Shasha-Biton,female,1973-05-23,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q20021291,Minister of Education,2021-06-13,Q19634043-E8C438A0-0908-4B27-9BF3-DB3866E90816
Q20071724,Orit Farkash-Hacohen,Orit Farkash Hacohen,female,1970-12-29,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q20021301,Minister of Science and Technology,2021-06-13,Q20071724-42E6DA31-E299-4406-8163-D776C6B376F7
Q20898016,Oded Forer,Oded Forer,male,1977-05-30,11,,,Q15731462,Minister of Agriculture and Rural Development,2021-06-13,Q20898016-0EC5C10E-AF8E-4FAF-BECF-51C659411DCB
Q20898016,Oded Forer,Oded Forer,male,1977-05-30,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q110061168,"Minister of the Development of the Periphery, Negev, and Galil",2021-06-13,Q20898016-79ACC075-4816-47C5-86BA-6C8C092BFA39
Q2468984,Yoel Razvozov,Yoel Razvozov,male,1980-07-05,11,,,Q15722454,Minister of Tourism,2021-06-13,Q2468984-16f7348a-45fc-020e-cc3a-efaeb10523f3
Q2583898,Zeev Elkin,Ze'ev Elkin,male,1971-04-03,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q110062245,Minister in the PMO and Liaison Between the Knesset and Government,2021-06-13,Q2583898-77515F13-FC37-4A7D-8315-21FF179D9C9B
Q2583898,Zeev Elkin,Ze'ev Elkin,male,1971-04-03,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q20021264,Minister of Construction and Housing,2021-06-13,Q2583898-7D1EC404-7FEB-4BBB-978C-3C8703CACA35
Q2583898,Zeev Elkin,Ze'ev Elkin,male,1971-04-03,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q110062214,Minister of Jerusalem Affairs and Heritage,2021-06-13,Q2583898-CF329242-531B-4EE0-8100-A9B0741C1DFB
Q2612721,Nachman Shai,Nachman Shai,male,1946-11-28,11,,,Q2566297,Minister of Diaspora Affairs,2021-06-13,Q2612721-791CB84E-4F35-429F-9AB1-FF05C91C878A
Q2783222,Orna Barbivay,Orna Barbivai,female,1962-09-05,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q20021267,Minister of the Economy and Industry,2021-06-13,Q2783222-77A3775B-7CCF-4451-BBC4-6E76E6904C6D
Q2791686,Ayelet Shaked,Ayelet Shaked,female,1976-05-07,11,,,Q2433405,Minister of the Interior,2021-06-13,Q2791686-5CBF9C47-D6B9-4C59-B52A-CBB617D9704E
Q2916662,Nitzan Horowitz,Nitzan Horowitz,male,1965-02-24,11,,,Q15722942,Minister of Health,2021-06-13,Q2916662-C72275CE-7C2B-4160-A10A-724C768E99BA
Q3593286,Omer Barlev,Omer Bar-Lev,male,1953-10-02,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q110061184,Minister for Community Strengthening and Advancement,2021-06-13,Q3593286-6A06013B-9ACB-45EB-B55F-4EC035414A99
Q3593286,Omer Barlev,Omer Bar-Lev,male,1953-10-02,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q20021305,Minister of Public Security,2021-06-13,Q3593286-6BC96087-8C7B-4C37-83C0-95F70A50CA36
Q3594030,Esawi   Frej,Issawi Frej,male,1963-12-14,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q2082286,Minister of Regional Cooperation,2021-06-13,Q3594030-D247F2D8-11F1-40A8-B807-6AB90CC92230
Q3663042,Karine Elharrar,Karin Elharar,female,1977-10-09,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q15732343,Minister of Energy,2021-06-13,Q3663042-C02DF7D6-6F73-4678-86DA-8320DD83E414
Q3663042,Karine Elharrar,Karin Elharar,female,1977-10-09,11,https://m.knesset.gov.il/en/mk/government/pages/governments.aspx?govId=36,2021-12-11,Q110061148,Minister of Water Resources,2021-06-13,Q3663042-D98F8FD1-ABF7-4F06-8235-763E2B712A8D
